feature,importance
discount,0.06321165
month,0.014862034
regular_price,0.01255592
article_id_1_UJ4517,0.007573869
current_price,0.0066199014
article_id_1_XU9926,0.006130924
article_id_1_QD2412,0.006002155
article_id_1_XK8557,0.005846121
article_id_1_FK7423,0.005762149
article_id_1_LR5226,0.0057025356
article_id_1_AU7641,0.0055761603
article_id_1_GT2628,0.0055748466
article_id_1_FF7283,0.0053742137
promo_media_ads,0.005299047
article_id_1_WP4574,0.005217961
article_id_1_XO7333,0.0051798644
article_id_1_VT3516,0.005076691
article_id_1_XR5464,0.004904869
article_id_1_XC9518,0.004782089
article_id_1_XN6238,0.004719957
article_id_1_RN7483,0.0046780384
sales,0.0046569905
article_id_1_DK3634,0.0046446547
article_id_1_VY6942,0.004551724
article_id_1_FJ8179,0.00454212
article_id_1_XF4642,0.0044027874
article_id_1_ZR3493,0.0043782345
article_id_1_GL8661,0.0042749336
article_id_1_IM2273,0.0042240405
article_id_1_GG8661,0.0042150067
article_id_1_BW2758,0.0041752807
article_id_1_EN1199,0.0040828525
article_id_1_GB6449,0.0040293857
article_id_1_WJ9718,0.0039543915
article_id_1_BF7459,0.003912915
article_id_1_AC7347,0.0038806337
article_id_1_MA7179,0.003871498
article_id_1_PY1419,0.0038665202
article_id_1_MP6772,0.0038414223
article_id_1_PU1185,0.003791778
article_id_1_PY1913,0.0037854402
article_id_1_OY4474,0.0037566458
article_id_1_YS9175,0.0037143982
article_id_1_QG3131,0.003713617
article_id_1_QS1816,0.0036698398
article_id_1_FE6641,0.0036433842
article_id_1_VU8833,0.0036339376
article_id_1_KV6219,0.0036300386
article_id_1_YG9479,0.0036112408
article_id_1_ZE9366,0.003607598
article_id_1_JB4241,0.0035976286
article_id_1_VW8489,0.0035585416
article_id_1_BY9685,0.0034841038
article_id_1_WK5365,0.0034797168
article_id_1_LT4238,0.0034742558
article_id_1_GR1127,0.0034687712
article_id_1_GC8114,0.003394908
article_id_1_VR2932,0.0033849098
article_id_1_VK4838,0.0033689803
article_id_1_NH7643,0.003302192
article_id_1_CA2199,0.0033009853
article_id_1_CY6963,0.0032945129
article_id_1_WT9578,0.0032812832
article_id_1_JR8311,0.0032166482
article_id_1_DW8683,0.0032062982
article_id_1_RV9228,0.0031763082
article_id_1_PE2872,0.00317611
article_id_1_RP9222,0.0031702411
article_id_1_AX5913,0.0031463513
article_id_1_VS6613,0.0031410323
article_id_1_PF5685,0.0031392698
article_id_1_BS7795,0.0031382253
article_id_1_RF2926,0.0031161136
article_id_1_VA9789,0.0031069505
article_id_1_VD4566,0.0030944846
article_id_1_ZX2294,0.0030506584
article_id_1_QB1247,0.0030477652
article_id_1_GJ5184,0.0030454127
article_id_1_WE4646,0.0030368678
article_id_1_NK4915,0.0030005137
article_id_1_GG3324,0.0029941297
article_id_1_BX8284,0.0029941255
article_id_1_XH3727,0.0029938058
article_id_1_GZ5576,0.0029871592
article_id_1_OK8155,0.0029871436
article_id_1_XF3362,0.0029789777
article_id_1_VL9749,0.002941856
article_id_1_PE5968,0.002919661
article_id_1_KT9618,0.0029184795
promo_store_event,0.0029142178
article_id_1_RT6283,0.002909074
main_closest_color_chocolate,0.002893896
article_id_1_SO4773,0.002885092
article_id_1_LU6658,0.0028437828
article_id_1_UD3728,0.0028236383
article_id_1_ZR8112,0.0028170822
article_id_1_EA9617,0.002802121
article_id_1_CL8759,0.0027480514
article_id_1_GW8244,0.0027436002
article_id_1_NS7357,0.0027315365
article_id_1_LB9256,0.0027090937
gender_men,0.0026841299
article_id_1_UR7332,0.002682024
article_id_1_UV9411,0.0026679074
article_id_1_EN9438,0.0026660364
article_id_1_SL9748,0.0026479987
article_id_1_XB1815,0.0026184167
article_id_1_QT2338,0.0026175238
article_id_1_SP6977,0.0026011236
article_id_1_AZ5221,0.0025831098
article_id_1_DM6271,0.0025526818
article_id_1_RF6881,0.002552115
article_id_2_AP5568,0.0025520145
article_id_1_IW7978,0.0025390477
article_id_1_FE6662,0.002516255
article_id_1_RE3197,0.0025034877
article_id_1_LL3852,0.0024929887
article_id_1_CA2479,0.0024829388
article_id_1_ZS4134,0.002465084
main_closest_color_blueviolet,0.0024544245
article_id_1_TX8432,0.0024412319
article_id_1_ZW6694,0.0024240084
article_id_1_JC5886,0.0024202683
article_id_1_RN4195,0.0023957207
article_id_1_KV2454,0.0023941705
article_id_1_WB3723,0.002392703
article_id_1_OP1184,0.0023819257
article_id_1_CF4856,0.0023757522
article_id_1_VX6536,0.0023527003
article_id_1_HN7357,0.0023503841
article_id_1_KE3772,0.0023479152
article_id_1_TC9631,0.0023301085
article_id_1_TK4862,0.0023188998
article_id_1_SG6172,0.002312912
article_id_1_TW8762,0.0023011882
article_id_1_FB5424,0.002299987
article_id_1_QO7834,0.002285262
productgroup_SHORTS,0.0022586246
article_id_1_VT1698,0.0022511093
article_id_1_XG6449,0.002241497
style_slim,0.0022300098
"sizes_xs,s,m,l,xl",0.0022179584
category_RELAX CASUAL,0.0022170618
article_id_1_FP2228,0.002210259
article_id_1_RS3662,0.002209815
article_id_1_MI6988,0.0022091907
article_id_1_DD1361,0.002204892
article_id_1_EF2771,0.0021986836
article_id_1_NY6781,0.0021939748
article_id_1_JK5796,0.0021848574
article_id_2_TX1463,0.0021627317
article_id_1_MQ6248,0.0021592723
article_id_1_CH6937,0.0021573952
article_id_1_LC1964,0.0021536776
day,0.0021487232
article_id_1_IA4131,0.0021475067
article_id_1_ZK3537,0.0021360063
main_closest_color_steelblue,0.0021341923
gender_unisex,0.002130313
article_id_1_YN8639,0.0021214627
main_closest_color_darkkhaki,0.0021104466
"sizes_xxs,xs,s,m,l,xl,xxl",0.0020970409
article_id_1_DW2429,0.002094468
article_id_2_AC7347,0.0020938234
category_GOLF,0.0020872466
article_id_1_NY5159,0.0020860035
article_id_2_FG2965,0.0020841337
article_id_1_BZ4828,0.002081039
article_id_1_VK5535,0.0020758791
category_INDOOR,0.0020720277
article_id_1_FE2938,0.0020662071
article_id_2_PC6383,0.0020646797
article_id_1_DB3258,0.0020643459
article_id_1_ZT1211,0.002063577
article_id_2_CB8861,0.0020624117
article_id_1_BR3179,0.0020535358
article_id_1_AP5568,0.0020529428
article_id_1_AR1923,0.0020508145
article_id_2_LI3529,0.0020466524
article_id_1_AA8941,0.0020364658
article_id_1_DI9187,0.0020327913
article_id_1_AA1821,0.0020159646
article_id_1_PQ6773,0.0020158964
article_id_1_GD2286,0.0020098768
main_closest_color_rosybrown,0.0020035652
article_id_2_GG8661,0.0019942606
article_id_1_NY5947,0.001978027
main_closest_color_lightskyblue,0.0019776556
article_id_1_ZC7213,0.0019630978
main_closest_color_goldenrod,0.0019604568
article_id_1_SA2925,0.001960296
article_id_1_RC5832,0.0019521558
